�б�ǩ,������:tag
sci-fi,9392
action,6782
atmospheric,6591
comedy,6362
Funny,5245
surreal,5238
based on a book,5094
twist ending,4661
romance,4388
visually appealing,4198
dystopia,4131
fantasy,3997
dark comedy,3885
classic,3838
quirky,3749
woman director,3664
Nudity (Topless),3652
stylized,3580
thought-provoking,3520
psychology,3473
adventure,3357
time travel,3333
violence,3250
murder,3199
Space,3131
Animation,3119
drama,3079
dark,3045
revenge,2966
social commentary,2932
thriller,2906
superhero,2902
aliens,2791
disturbing,2723
suspense,2671
cinematography,2648
horror,2613
drugs,2578
Criterion,2557
coming of age,2514
music,2488
musical,2488
true story,2436
great soundtrack,2426
psychological,2385
World War II,2373
friendship,2373
black comedy,2305
predictable,2287
Crime,2215
cult film,2214
based on a true story,2164
post-apocalyptic,2160
war,2156
satire,2156
independent film,2089
bittersweet,2030
high school,2012
Family,1966
Science Fiction,1954
boring,1952
serial killer,1945
mystery,1941
magic,1889
mindfuck,1877
love,1868
dreamlike,1816
politics,1796
sequel,1780
imdb top 250,1769
anime,1755
violent,1753
Tense,1747
mental illness,1729
artificial intelligence,1697
Biography,1693
inspirational,1683
comic book,1636
future,1631
Disney,1620
history,1608
alternate reality,1600
Religion,1582
martial arts,1580
great acting,1516
police,1499
parody,1463
nonlinear,1434
witty,1415
Quentin Tarantino,1395
zombies,1394
documentary,1387
philosophy,1369
Nudity (Full Frontal),1359
philosophical,1356
beautiful,1350
Gay,1347
SURVIVAL,1345
emotional,1340
Pixar,1335
remake,1324
rape,1288
Marvel,1280
black and white,1271
Japan,1264
New York City,1256
robots,1241
sex,1232
British,1230
slow,1210
prison,1209
multiple storylines,1198
based on novel or book,1186
soundtrack,1178
adapted from:book,1172
historical,1161
Christmas,1160
espionage,1151
short,1148
humorous,1143
Oscar (Best Picture),1123
tom hanks,1121
franchise,1121
touching,1117
organized crime,1100
Hilarious,1099
corruption,1094
plot twist,1086
Johnny Depp,1074
original,1070
Brad Pitt,1060
gore,1037
Heist,1032
fairy tale,1014
Bruce Willis,1007
epic,1005
Suicide,1000
stupid,996
futuristic,992
Leonardo DiCaprio,991
film noir,991
racism,988
visually stunning,984
overrated,980
military,979
England,976
intelligent,972
Mafia,958
conspiracy,958
supernatural,957
small town,956
Dialogue,949
dark humor,946
Kidnapping,944
loneliness,939
acting,939
assassin,939
weird,936
Morgan Freeman,934
lesbian,931
Death,927
sexuality,926
clever,925
cyberpunk,921
stand-up comedy,918
road trip,918
ensemble cast,918
intense,885
bad acting,884
Paris,883
spy,875
vampires,872
long,863
creepy,862
silly,859
sports,833
depressing,832
monster,829
Steven Spielberg,828
R,820
heartwarming,814
surrealism,806
relationships,802
space travel,797
Christianity,794
Matt Damon,790
Nazis,785
great ending,783
strong female lead,780
complicated,779
French,778
Studio Ghibli,772
star wars,766
romantic comedy,764
talking animals,764
whimsical,763
less than 300 ratings,762
father-son relationship,758
satirical,753
feel-good,752
Harrison Ford,746
erlend's DVDs,745
detective,745
Tom Cruise,743
love story,743
Christian Bale,739
Realistic,738
Jim Carrey,730
Samuel L. Jackson,729
Robert De Niro,728
France,728
torture,723
children,722
western,721
New York,720
Edward Norton,720
special effects,707
los angeles,706
gothic,701
fantasy world,694
fun,692
Bill Murray,692
Nudity (Topless - Notable),689
Tumey's DVDs,683
Coen Brothers,683
teenager,680
cute,678
sport,677
chick flick,677
teen,675
story,670
apocalypse,669
too long,668
neo-noir,661
virtual reality,658
adultery,658
Scarlett Johansson,657
cult classic,651
1980s,650
Science,648
homosexuality,648
sad,646
Stephen King,646
existentialism,642
vampire,641
Tim Burton,640
parent child relationship,640
gritty,640
Stanley Kubrick,637
Clint Eastwood,635
Robin Williams,634
Robert Downey Jr.,624
seen more than once,621
campy,621
alien,615
ghosts,614
Natalie Portman,613
might like,613
terrorism,612
Martin Scorsese,610
memory,608
Kevin Spacey,606
humor,606
cheesy,602
mathematics,600
college,595
feminism,593
Nudity (Topless - Brief),588
journalism,587
technology,584
romantic,581
slasher,579
post apocalyptic,579
James Bond,576
Nudity (Full Frontal - Notable),575
Al Pacino,573
Zombie,572
controversial,572
investigation,571
Christopher Nolan,570
gangster,569
cliche,567
Africa,567
lgbt,564
Teen movie,561
bad science,560
plot holes,559
computers,558
movie business,555
Hayao Miyazaki,555
car chase,555
musicians,554
mockumentary,553
Alien Invasion,553
jack nicholson,552
reflective,551
Bechdel Test:Fail,551
hallucinatory,550
dance,548
marriage,546
CIA,545
Bechdel Test:Pass,545
insanity,544
Cerebral,542
Will Smith,541
1970s,539
nature,536
masterpiece,529
Oscar (Best Cinematography),526
thought provoking,525
prostitution,525
imagination,524
powerful ending,523
low budget,522
absurd,521
narrated,520
Keanu Reeves,519
beautifully filmed,519
island,518
Arnold Schwarzenegger,517
dreams,514
Batman,512
sword fight,510
obsession,510
sibling relationship,502
